"Step","inrl-temporal-6 - eval/black_vs_baseline","inrl-temporal-6 - eval/black_vs_baseline__MIN","inrl-temporal-6 - eval/black_vs_baseline__MAX"
"2710","0.66796875","0.66796875","0.66796875"
"2715","0.642578125","0.642578125","0.642578125"
"2720","0.681640625","0.681640625","0.681640625"
"2725","0.70703125","0.70703125","0.70703125"
"2730","0.65234375","0.65234375","0.65234375"
"2735","0.693359375","0.693359375","0.693359375"
"2740","0.701171875","0.701171875","0.701171875"
"2745","0.677734375","0.677734375","0.677734375"
"2750","0.6640625","0.6640625","0.6640625"
"2755","0.6796875","0.6796875","0.6796875"
"2760","0.73828125","0.73828125","0.73828125"
"2765","0.669921875","0.669921875","0.669921875"
"2770","0.693359375","0.693359375","0.693359375"
"2775","0.654296875","0.654296875","0.654296875"
"2780","0.67578125","0.67578125","0.67578125"
"2785","0.6640625","0.6640625","0.6640625"
"2790","0.673828125","0.673828125","0.673828125"
"2795","0.67578125","0.67578125","0.67578125"
"2800","0.66015625","0.66015625","0.66015625"
"2805","0.70703125","0.70703125","0.70703125"
"2810","0.67578125","0.67578125","0.67578125"
"2815","0.677734375","0.677734375","0.677734375"
"2820","0.724609375","0.724609375","0.724609375"
"2825","0.70703125","0.70703125","0.70703125"
"2830","0.697265625","0.697265625","0.697265625"
"2835","0.673828125","0.673828125","0.673828125"
"2840","0.703125","0.703125","0.703125"
"2845","0.740234375","0.740234375","0.740234375"
"2850","0.71875","0.71875","0.71875"
"2855","0.6796875","0.6796875","0.6796875"
"2860","0.693359375","0.693359375","0.693359375"
"2865","0.701171875","0.701171875","0.701171875"
"2870","0.701171875","0.701171875","0.701171875"
"2875","0.763671875","0.763671875","0.763671875"
"2880","0.71875","0.71875","0.71875"
"2885","0.708984375","0.708984375","0.708984375"
"2890","0.71484375","0.71484375","0.71484375"
"2895","0.71875","0.71875","0.71875"
"2900","0.705078125","0.705078125","0.705078125"
"2905","0.71484375","0.71484375","0.71484375"
"2910","0.65625","0.65625","0.65625"
"2915","0.69921875","0.69921875","0.69921875"
"2920","0.697265625","0.697265625","0.697265625"
"2925","0.697265625","0.697265625","0.697265625"
"2930","0.689453125","0.689453125","0.689453125"
"2935","0.71484375","0.71484375","0.71484375"
"2940","0.71875","0.71875","0.71875"
"2945","0.658203125","0.658203125","0.658203125"
"2950","0.623046875","0.623046875","0.623046875"
"2955","0.6796875","0.6796875","0.6796875"
"2960","0.646484375","0.646484375","0.646484375"
"2965","0.66796875","0.66796875","0.66796875"
"2970","0.68359375","0.68359375","0.68359375"
"2975","0.6640625","0.6640625","0.6640625"
"2980","0.6640625","0.6640625","0.6640625"
"2985","0.66015625","0.66015625","0.66015625"
"2990","0.673828125","0.673828125","0.673828125"
"2995","0.65625","0.65625","0.65625"
